id;x;y;z;roll;pitch;yaw
1;-5;-3.4;0.5;0;0;0.2
2;0.3;-4.25;0.5;0;0;0
3;5.6;-0.75;0.5;0;0;-0.11
4;-0.95;0.03;0.5;0;0;-0.92
5;2.55;-0.88;0.5;0;0;-0.35
6;-0.2;3.85;0.5;0;0;0
7;-4.2;2.22;0.5;0;0;0
8;-3.5;6.44;0.5;0;0;0.76
9;-2.9;3.05;0.5;0;0;1.56
10;-5.6;-2.0;0.5;0;0;-1.6
11;-4.91;3.5;0.5;0;0;-1.55
12;-5.9;6.65;0.5;0;0;-0.91
13;-1.1;4.95;0.5;0;0;-1.55
14;-0.75;1.63;0.5;0;0;-2.44
15;-1.15;-3.2;0.5;0;0;-1.55
16;4.37;-6.4;0.5;0;0;-1.55
17;1.4;5.9;0.5;0;0;2.4
18;4.87;2.8;0.5;0;0;2.59
19;2.5;-3.37;0.5;0;0;1.58
20;-3.85;-2.19;0.5;0;0;1.57
